中视,rtmp://f13h.mine.nu/sat/tv091
华视,rtmp://f13h.mine.nu/sat/tv111
台视,rtmp://f13h.mine.nu/sat/tv071
民视,rtmp://f13h.mine.nu/sat/tv051
中天新闻,https://ali.hlspull.yximgs.com/live/ctinews.flv
中天新闻,http://103.193.151.158:8500/live.m3u8?c=1
中天新聞2台,http://103.193.151.158:8500/live.m3u8?c=2
中天新聞,http://103.193.151.158:8500/live.m3u8?c=3
民視新聞,http://103.193.151.158:8500/live.m3u8?c=4
TVBS新聞,http://103.193.151.158:8500/live.m3u8?c=5
東森財經,http://103.193.151.158:8500/live.m3u8?c=6
華視新聞,http://103.193.151.158:8500/live.m3u8?c=7
台視新聞,http://103.193.151.158:8500/live.m3u8?c=8
台視新聞,http://103.193.151.158:8500/live.m3u8?c=9
中視新聞,http://103.193.151.158:8500/live.m3u8?c=10
公視新聞,http://103.193.151.158:8500/live.m3u8?c=11
鏡新聞mnews,http://103.193.151.158:8500/live.m3u8?c=12
TaiwanPlus,http://103.193.151.158:8500/live.m3u8?c=13
大愛一臺,http://103.193.151.158:8500/live.m3u8?c=14
Euronews English,http://103.193.151.158:8500/live.m3u8?c=15
三立新聞,http://103.193.151.158:8500/live.m3u8?c=16
三立+,http://103.193.151.158:8500/live.m3u8?c=17
GB News,http://103.193.151.158:8500/live.m3u8?c=18
公視,http://103.193.151.158:8500/live.m3u8?c=19
東森購物2,http://103.193.151.158:8500/live.m3u8?c=20
東森購物1,http://103.193.151.158:8500/live.m3u8?c=21
中天亞洲,http://103.193.151.158:8500/live.m3u8?c=22
豬哥會社,http://103.193.151.158:8500/live.m3u8?c=23
東森購物3,http://103.193.151.158:8500/live.m3u8?c=24
MOMO購物1,http://103.193.151.158:8500/live.m3u8?c=25
MOMO購物2,http://103.193.151.158:8500/live.m3u8?c=26
國會頻道１,http://103.193.151.158:8500/live.m3u8?c=27
國會頻道2,http://103.193.151.158:8500/live.m3u8?c=28
台灣地震監視,http://103.193.151.158:8500/live.m3u8?c=29
中視經典綜藝,http://103.193.151.158:8500/live.m3u8?c=30
三立新聞,http://103.193.151.158:8500/live.m3u8?c=31
三立+,http://103.193.151.158:8500/live.m3u8?c=32
TVBS HD,http://80story.us.to:8073/live.m3u8?c=1
TVBS NEWS,http://80story.us.to:8073/live.m3u8?c=2
TVBS新闻台HD,http://80story.us.to:8073/live.m3u8?c=3
中天新闻,http://80story.us.to:8073/live.m3u8?c=4
中天新闻2,http://80story.us.to:8073/live.m3u8?c=5
中天亚洲台,http://80story.us.to:8073/live.m3u8?c=6
中视新闻,http://80story.us.to:8073/live.m3u8?c=7
东森新闻,http://80story.us.to:8073/live.m3u8?c=8
东森财经新闻HD,http://80story.us.to:8073/live.m3u8?c=9
寰宇新闻台,http://80story.us.to:8073/live.m3u8?c=10
台视新闻HD,http://80story.us.to:8073/live.m3u8?c=11
民视新闻台HD,http://80story.us.to:8073/live.m3u8?c=12
镜新闻mnews,http://80story.us.to:8073/live.m3u8?c=13
LIVE三立,http://80story.us.to:8073/live.m3u8?c=14
三立iNEWS,http://80story.us.to:8073/live.m3u8?c=15
大爱一台,http://80story.us.to:8073/live.m3u8?c=16
大爱二台,http://80story.us.to:8073/live.m3u8?c=17
华视新闻资讯,http://80story.us.to:8073/live.m3u8?c=18
凤凰资讯HD,http://80story.us.to:8073/live.m3u8?c=19
新西兰电视台,http://80story.us.to:8073/live.m3u8?c=20
TAIWAN+,http://80story.us.to:8073/live.m3u8?c=21
三立NEWS+,http://80story.us.to:8073/live.m3u8?c=22
国会频道1,http://80story.us.to:8073/live.m3u8?c=23
国会频道2,http://80story.us.to:8073/live.m3u8?c=24
佛乘宗电视,http://80story.us.to:8073/live.m3u8?c=25
寰宇新闻台湾台,http://80story.us.to:8073/live.m3u8?c=26
寰宇财经台,http://80story.us.to:8073/live.m3u8?c=27
中视经典综艺,http://80story.us.to:8073/live.m3u8?c=28
中视台湾志,http://80story.us.to:8073/live.m3u8?c=29
华视天才冲冲冲,http://80story.us.to:8073/live.m3u8?c=30
CNA亚洲新闻,http://80story.us.to:8073/live.m3u8?c=31
中视新闻,http://103.112.184.105:8800/live.m3u8?c=1
中天新闻,http://103.112.184.105:8800/live.m3u8?c=2
中天新闻2台,http://103.112.184.105:8800/live.m3u8?c=3
民视新闻,http://103.112.184.105:8800/live.m3u8?c=4
TVBS新闻,http://103.112.184.105:8800/live.m3u8?c=5
TVBS news,http://103.112.184.105:8800/live.m3u8?c=6
TVBS 56频道,http://103.112.184.105:8800/live.m3u8?c=7
华视新闻,http://103.112.184.105:8800/live.m3u8?c=8
台视新闻,http://103.112.184.105:8800/live.m3u8?c=9
镜新闻,http://103.112.184.105:8800/live.m3u8?c=10
东森新闻,http://103.112.184.105:8800/live.m3u8?c=11
东森财经,http://103.112.184.105:8800/live.m3u8?c=12
三立新闻,http://103.112.184.105:8800/live.m3u8?c=13
三立+,http://103.112.184.105:8800/live.m3u8?c=14
环宇新闻,http://103.112.184.105:8800/live.m3u8?c=15
环宇新闻,http://103.112.184.105:8800/live.m3u8?c=16
环宇财经,http://103.112.184.105:8800/live.m3u8?c=17
公视新闻,http://103.112.184.105:8800/live.m3u8?c=18
非凡新闻,http://103.112.184.105:8800/live.m3u8?c=19
TaiwanPlus,http://103.112.184.105:8800/live.m3u8?c=20
中视万秀猪王,http://103.112.184.105:8800/live.m3u8?c=21
猪哥亮歌厅秀,http://103.112.184.105:8800/live.m3u8?c=22
中天亚洲,http://103.112.184.105:8800/live.m3u8?c=23
台湾启示录,http://103.112.184.105:8800/live.m3u8?c=24
